,sample,language
46,"Kuma Muka ce: daga bãyansa ga Banĩ Isrã´ĩla, ""Ku zauni ƙasar. Sa´an nan idan wa´adin ƙarshe ya zo, zã Mu jħ da ku jama´a-jama´a.""(4)
",hau_Latn
47,"XINSANXING yana mai da hankali kan fasahar saƙa da haɓaka sana'ar gargajiya ta Sinawa.
",hau_Latn
48,"Bari mu san mafi guntu dare na shekara, lokacin da bazara solstice faruwa da kuma tare da mafi shahara bikin da kuma a kan wane kwanan wata.
",hau_Latn
49,"Banda yadda zanyi duk da sunce kada in tafi haka na aje abin karyawa na na nufi part din anty nuriya din da zuman mata aikin data sani.
",hau_Latn
50,"Yana iya jure wa 1.75mm PLA da nau'in filament na ABS, yana iya ƙirƙirar samfura har zuwa 22.7 × 14.8 × 15 cm. Tsarinsa yana da ƙarfi kuma mai dorewa, Yana da daidaitaccen bugu na 0,1-0,2 mm, haɗin USB, Ramin katin SD, tasirin spatula da 2 kilogiram na filament a matsayin kyauta, yana da kauri tsakanin 0.05 da 0.5 mm, 0.4 mm bututun ƙarfe, madaidaicin gatura da goyan bayan software na REXPrint da Fayilolin STL.
",hau_Latn
51,"5. a yaƙi da Babiloniyawa. ‘Za su cika da gawawwakin mutane waɗanda na kashe da fushina da hasalata. Zan ɓoye fuskata wa wannan birni saboda dukan muguntarsu.
",hau_Latn
52,"Ayyukansa shine keɓance madaidaicin daga jirgin ƙasa na gaba na kayan haɗi na bel ɗin tuƙi, saboda mai canzawa yana da mafi girman lokacin jujjuyawar inertia a cikin jirgin ƙasa na kayan haɗin bel ɗin gaba.Wannan yana nufin cewa janareta mai ɗaukar hoto ta hanya ɗaya shine V-belt kuma yana iya tuƙi alternator ta hanya ɗaya kawai.
",hau_Latn
53,"Tridjardy XR shine haɗin magungunan 3 masu ciwon sukari (metformin, linagliptin, empagliflozin). Koyi game da wannan sabon, magani sau ɗaya a kowace rana a nan.
",hau_Latn
54,"Kayayyakin da aka Nuna - Tashar yanar gizo - Dandalin Waya
",hau_Latn
55,"Kafin ya budi baki yace wani abu sai kawai yaga boka barwas ya bace bat tamkar bai taba wanzuwa ba a wajan, cikin alamun tsananin damuwa sarki shardas ya juya ya sauka daga kan matattakalar barandar ya nufi cikin gidan sarautar zuciyarsa cike da sake sake da tunani abinda ya fara fado masa a rai shine wai shin yaya akayi nema har ya bari son yarima ya shiga zuciyarsa alhalin ya san cewa ba jininsa bane asalima ba shi da wani makiyi wanda ya fishi a doron kasa tunda komai dare dadewa sai ya nemi daukar fansar ran mahaifinsa hailur a kansa wata zuciyar kuma sai tace dashi hakika babu abinda yafi soyayya hadari a wannan duniya domin inda tun farko bai kamu da son shadila ba da tun sa adda ya kashe mijinta itama zai kasheta dashi kenan ya huta da fargabar komai don da yanzun bata haife masa alakakai ba kuma kadangaren bakin tulu wato yarima Hulkas maimakon sarki shardas ya wuce zuwa turakarsa sai ya wuce zuwa turakar shadila kai tsaye duk inda ya ratsa sai dai kaga hadimai suna zubewa kasa suna kwasar gaisuwa da isarsa dakin sai ya iske shadila tare da hulkas a zaune cikin nishadi da farin ciki suna cin tuffa a karon farko sai hulkas yaga babu cikakken annuri a fuskar sarki shardas kafin hulkas yace wani abu sai shardas ya dubeshi yace yakai dana ina son ka bamu dan lokaci zan tattauna da mahaifiyarka.
",hau_Latn
56,"Ee.PCBFuture ba shi da ƙayyadaddun buƙatun tsari kuma yana iya haɗa ko da allo ɗaya.Don ƙarin bayani duba samfurin mu na taro page.
",hau_Latn
57,"Aikace-aikaceAmfani da shi azaman kayan kwalliya don sutturar kayan kwalliyar ruwa don hanzarta samar da fim
",hau_Latn
58,"Baba yace to ba damuwa, Khalid ya bude ma Shahrazad mota tashiga, ya dauki wayarsa ya kira amingi , itama cikin sauri tafito, abunka da makwafta banisa tsakanin su!!! Tana kara sowa tashiga mota kusa da Shahrazad, """" cikin damuwa amingi tace shazee waya dake ki haka, Shahrazad ta sunkuyar da kanta kasa tana hawaye.
",hau_Latn
59,"FaÉ—aÉ—a iliminka ta hanyar fassara rubuce-rubucen ilimi, kayan koyarwa, da labaran kimiyya.
",hau_Latn
60,"Daidaitaccen, saka idanu masu yawa na matukin jirgi da manyan al'adun tantanin halitta abu ne mai yuwuwa don tabbatar da ingantaccen ingancin samfuran ƙarshe, masu zaman kansu daga cikin tantanin halitta ko na cikin salula ko abubuwan da aka ɓoye suna cikin mayar da hankali kan tsarin samarwa.Countstar Altair ya dace sosai don gwaje-gwaje akai-akai a cikin layukan samarwa, mai cin gashin kansa daga kundin bioreactor guda ɗaya.
",hau_Latn
61,"Ƙungiyoyin ƙira daga VENSANEA za su bincika abubuwan da suka shahara a kowace shekara ta hanyar duba shahararrun gidan yanar gizon ƙira, ziyarci Dalone del moil Milano a Italiya, duba rahoton yanayin yanayi daga Hukuma
",hau_Latn
62,"Ta cika wannan bayanin, zaku sami kimanta farashin kuɗin kuɗin kuɗin ku,
",hau_Latn
63,"(3) Hakanan za'a iya tsara muku ƙarfin ƙarfin, yawanci a cikin 24ah-300ah.
",hau_Latn
64,"Yayin da kuka fara noman noma da kiwo, za ku ga cewa gonakinku ya zarce wurin aiki; ya zama nuni na kerawa da himma. Kowace kakar tana kawo sabbin Æ™alubale da dama, tun daga dashen amfanin gona na lokaci zuwa shirya girbi na gaba. Tsare-tsare da tunani mai zurfi na aikin gonar ku yana shimfida tushen aikin noma mai fa'ida kuma mai daÉ—i, mai da tsohon shirin kakanku zuwa gonar mafarkinku.
",hau_Latn
65,"Amah samun Wanda kakeso yanada Dadi hardai idan shima Yana sinks,
",hau_Latn
66,"48 V 20 Babban baturin gubar-acid na iya aiki gabaɗaya fiye da sa'o'i 5 bayan cajin sa'o'i shida. Motar tagulla mai tsafta ta ƙasa tana da ƙaƙƙarfan juzu'i, aiki mai inganci, kuma an sanye shi da murfin kariya. Kayan ƙarfe na manganese mai kauri yana da kauri, mai hatimi guda ɗaya yana ƙirƙirar, tsarin jiki yana da ƙarfi, ɗaukar nauyi ya fi ƙarfi, kuma ba shi da sauƙin jujjuyawa. Hannun aiki mai sauƙi, maɓallan ayyuka masu yawa, aikin maɓalli ɗaya, sassauƙa da dacewa. Silinda guda ɗaya da aka jefa, ƙarar ƙarfi mai ƙarfi, kulawa mai sauƙi. Ƙafafun da aka zaɓa suna da dorewa da sauƙin kiyaye wurin tuntuɓar juna tare da ƙasa don kwanciyar hankali.
",hau_Latn
67,"(3) A dauki gogaggun ma'aikata da ba su horon da ya dace;
",hau_Latn
68,"Samun ƙwararrun ƙungiyar sabis don samar da sabis ɗaya zuwa ɗaya.
",hau_Latn
69,"Shugaban Sudan al Burhan ya ce ‘sojojin ƙasar sun janye’ daga Al Fasher
",hau_Latn
70,"Kuma lalle, abin da yake akwai tsãwatarwa a cikinsa na lãbãraiya zo musu.
",hau_Latn
71,"Don yin rubutu mafi kyau ta hanyar kyawun bugun jini, kula da motsin kowace wasiƙa, yana da mahimmanci ku mai da hankali sosai kan wannan burin. Akwai takardu daban-daban waɗanda za a iya amfani da su a wannan aikin. Yana da kyau ka zabi takarda mai dacewa don fara aiki. A cikin tsari mai jan hankali bazai yiwu ayi gyara na gaba ba. Takarda mai santsi da danshi sumul ya dace musamman. Irin wannan tsarin yana sa tsarin rubutu ya zama mai sauƙi.
",hau_Latn
72,"Na gwada shi kuma yana da kyau sosai, 'ya'yana mata sun Æ™aunace shi! babu sauran ""yaki"" don su ci broccoli
",hau_Latn
73,"domin ta tambayi lafiya na, domin na bata sako cewa ta yi mani addu’a. Kamin in
",hau_Latn
74,"Ana amfani da akwatunan ɗaukar kaya don ɗaukar kayan abinci ko isar da abinci kuma ana yin su daga abubuwa daban-daban, gami da takarda, filastik da kumfa. Tambaya ta gama gari daga masu amfani ita ce ko waɗannan akwatunan suna da lafiya don zafi a cikin injin microwave ko tanda. Amsar ta dogara da yawa akan kayan akwatin. ...Kara karantawa»
",hau_Latn
75,"1. Danna Windows Key + X sannan ka zaba Umurnin Umurni (Admin).
",hau_Latn
76,"Masu Zane-zanen Takarda Kala-Funar Rufe Tef don Mai Zane da Ado
",hau_Latn
77,"Ka ce: ""Allah Yã isa zama shaida a tsakãnina da ku. Lalle Shi Ya kasance ga bãyinsa, mai ƙididdigewa ne Mai gani.""
",hau_Latn
78,"Shin kuna cikin yanayi ɗaya da matashin da ke sama? Kuna fushi sa'ad da kuka gane cewa iyayenku koyaushe suna bin inda kuke? Shin kuna neman hanyar kashe wurin akan Life360 ba tare da kowa ya sani ba? Wannan labarin yana ba ku mafita guda 6 don kashe bin sawun wuri akan Life360.
",hau_Latn
79,"A m balagagge karuwa jerks kashe ta zakara da ta nono0%
",hau_Latn
80,"Kuma suka ce: ""Mũ ne mafiya yawa ga dũkiya da ɗiya, kuma mu ba mu zama waɗanda ake yi wa azãba ba.""
",hau_Latn
81,"Farin 350gsm duk ambulan allo an tsara su tare da dacewa da dorewa a zuciya. Waɗannan ambulaf ɗin suna da ƙira irin na aljihu tare da buɗe ƙarshen buɗewa daga ɗan gajeren gefe, yana sa su dace don amintaccen rufe takardu, katunan, da sauran abubuwan lebur. Gina daga 350gsm farin duk kayan jirgi, suna ba da ƙwaƙƙwaran bayyanar ƙwararru. Bawon da ƙullewar hatimi yana tabbatar da sauƙi da amintaccen hatimi, yayin da tsiri yage yana ba da damar buɗewa mara ƙarfi ta mai karɓa. Waɗannan ambulaf ɗin sun dace da buƙatun aikawasiku daban-daban, suna ba da ingantaccen abin dogaro da ingantaccen bayani don aika mahimman abubuwa. Ko don amfanin sirri ko na kasuwanci, 350gsm farar duk buhunan allo suna ba da zaɓi mai amfani da ƙwarewa don buƙatun ku.
",hau_Latn
82,"Mu ma'aikata ne, kuma kowane sashe za mu bincika shi ta sashen bincikenmu masu inganci don tabbatar da ingancin kowane samfurin.
",hau_Latn
83,"Kamara mai sa ido na Tsira: cimma sakamako cewa zan sa ido na yau da kullun ba zai iya cimma ba
",hau_Latn
84,"Martanin al'umma ga Stardew Valley ya kasance mai inganci sosai. 'Yan wasa akai-akai suna yaba wa É—imbin labarun wasan, ayyuka iri-iri, da 'yancin yin bincike da Æ™irÆ™ira. Æ˜wararriyar cibiyar haÉ—in gwiwar É—an wasa ta haÉ“aka Æ™aÆ™Æ™arfan al'umma mai goyan baya waÉ—anda ke haÉ“aka Æ™warewar wasan gaba gaba É—aya. 'Yan wasan kuma sun yaba da cewa Stardew Valley yana ba da cikakkiyar gogewa ba tare da siyan in-app ba. Bugu da Æ™ari, 'yan wasa da yawa sun ambaci Kamfanin Joja a matsayin Æ™alubale na gama gari, yana Æ™ara zurfin labarin wasan.
",hau_Latn
85,"ne, ga zallan mamakinsa, yana shiga, hango sa ya yi cen bakin karshen Gado yana
",hau_Latn
86,"Wurin na samu na zauna saiga mami ta leko tana fadin kin san fa tare dake zan fita ki shirya ku fito mu tafi haka yasa akaiwa anty Aisha a gurguje ta shirya ta fita ta barni a dakin da mai kwalliyan.
",hau_Latn
87,"Mahalarta za su koyi basirar sauraro da sauran dabaru don shigar da iyalai cikin yanayi masu wahala da ƙirƙirar alaƙar aiki mai fa'ida.
",hau_Latn
88,"Koyi komai game da Punica granatum, bishiya mai jure fari wanda baya buƙatar kulawa sosai don ba da 'ya'ya.
",hau_Latn
89,"Ana gayã wa mutum, a rãnar nan, abin da ya gabatar da wanda ya jinkirtar.
",hau_Latn
90,"‘ya’yan jam’iyya mai mulki jikinsu ya yi sanyi inda suka shiga kame-kame don ba
",hau_Latn
91,"ba kibla ba ce,a nan sallar ta baci kuma dole ya sake ta wajen da kibla
",hau_Latn
92,"Daga yau din ban son in kara ganin hakan ta koma can wurun yan aiki ta dinga ci tare dasu kande da lami.
",hau_Latn
93,"Zuhra tayi saurin dauke mayafin Iman tace""ni kuma bazan bayarba,sae kun kwana agidan nan""
",hau_Latn
94,"Kamun kifi da kiwo sune manyan ayyuka waÉ—anda ke ba da gudummawa ga wadatar kwarin Stardew. Samuwar kifi ya bambanta da lokacin rana, yanayi, da yanayi, yana mai da kowace tafiya kamun kifin kasada. Don masu farawa, Dutsen Dutsen yana ba da kyakkyawar farawa tare da kifi kamar Sturgeon, wanda ya zama dole don samar da caviar. Æ˜wararrun Æ™wararrun Æ™wararrun Æ™wararru za su iya neman kamawa na musamman kamar Super Cucumber a Tekun ko Woodskip mai wuyar gaske a cikin Tafkin Sirrin Woods. Wasan yana da lada musamman saboda baya dogara ga siyan in-app, yana ba da cikakkiyar gogewa ba tare da Æ™arin farashi ba.
",hau_Latn
95,"Ma’aunin shiga aljannan shi ne imani da aiki na gari.
",hau_Latn
96,"An gudanar da taro domin koyo game da Alqur'ani a Masallacin Quba da ke Sanandaj
",hau_Latn
97,"3. Babban jikin mai rikodin an yi shi da aluminium na jirgin sama ta hanyar simintin mutuwa.
",hau_Latn
98,"Bugawar thermal fasaha ce mai fa'ida sosai a cikin kasuwa tare da yuwuwar haɓaka haɓaka mai ƙarfi - kuma buƙatun yana ƙaruwa don takarda mai inganci wacce ke yin kewayon ƙayyadaddun bayanai.
",hau_Latn
99,"Lalle ne Mun san abin da ƙasã ke ragħwo daga gare su, kuma wurinMu akwai wani littãfi mai tsarħwa.
",hau_Latn
100,"Kampeni ya kutokomeza njaa, utapiamlo kuzinduliwa Septemba 6
",swh_Latn
101,"Badala ya Mwenyezi Mungu, yeye huomba kisicho mdhuru wala kumnufaisha. Huko ndiko kupotolea mbali!
",swh_Latn
102,"Natoa pongezi kwa vijana wa kigogo kwa maamuzi safi waliyofanya ambayo yanachochea maendeleo. Maamuzi yao haya, ni sahihi na yanastahili kupongezwa na yeyote apendaye maendeleo.
",swh_Latn
103,"> Crystal Nyeusi: Uso mweusi mweusi huunda umaridadi wa kisasa na kina kilichoboreshwa
",swh_Latn
104,"Maduka manne yavunjwa, mali zaibiwa mtaa wa Mbugani
",swh_Latn
105,"1. Wengi Famous Streets Katika Paris To See: Barabara ya Victor Hugo
",swh_Latn
106,"Kampuni yetu ina uzoefu wa miaka kumi na moja katika ufungaji wa bidhaa za karatasi. Tunatoa bidhaa kwa idadi ya biashara zinazojulikana, kama vile birgma nchini Uswidi, Carrefour nchini Uhispania na Ufaransa, na Lidl nchini Ujerumani.
",swh_Latn
107,"Sheria ya Jinai ya Falme za Kiarabu kwa Waliohamishwa mwaka wa 2025: Nini Hasa Kinatumika
",swh_Latn
108,"Nakala ya asili iko ndani Pressenza International Press Agency
",swh_Latn
109,"Chati mgeuzo inaweza kutumika kutoa taarifa na kuendeleza uchanganuzi wa matatizo na kusababisha upangaji hatua. Kwa mfano, mchoro ulitumiwa kutoa taarifa juu ya njia za kuingia kwa kuuliza ""Viuatilifu huingiaje mwilini?"" Ili kuzalisha uchanganuzi wa tatizo la sumu ya dawa, mwalimu angewauliza washiriki: “Ni nini kinaendelea hapa? Je! tukio hili linajulikana? Kwa nini hii inatokea? Unaweza kufanya nini (yeye) kuhusu hilo?” Kuanzishwa kwa watu wawili au zaidi kwenye mchoro (wa watu wawili wanaoingia kwenye uwanja ulionyunyiziwa hivi majuzi) kunahimiza mjadala wa motisha na hisia zinazoshukiwa. “Kwa nini anasoma bango? Kwa nini aliingia moja kwa moja?"" Kwa picha zinazoonekana zinazofaa, picha hiyo hiyo inaweza kuanzisha mijadala mbalimbali, kutegemeana na kikundi.
",swh_Latn
110,"Pakatangazwa kutoka chini yake: Usihuzunike! Hakika Mola wako Mlezi amejaalia chini yako kijito kidogo cha maji!
",swh_Latn
111,"Mkuu wa Tanzania Mhe. Prof. Ibrahim Khamis Juma (watatu kushoto), Jaji Kiongozi
",swh_Latn
112,"Seti ya Kiasi cha Feline Jumla ya lgE (Tathmini ya Immunochromatography ya Fluorescent ya Nanocrystals Adimu za Dunia)(fTlgE)
",swh_Latn
113,"Zaidi ya Asasi 1000 zinatarajia kushiriki katika wiki ya Azaki 2021 jijini Dodoma
",swh_Latn
